url,comments,language,status
https://bernews.com/category/all/feed,Bermuda,en,active
https://dailypost.ng/hot-news/feed/,Nigerian,en,active
http://www.theage.com.au/rss/national/victoria.xml,Australian state,en,active
https://www.thehindu.com/news/cities/Madurai/feeder/default.rss,Indian,en,active
https://www.wptv.com/news/local-news.rss,West Palm Beach,en,active
https://www.katc.com/news/st-martin-parish.rss,Louisiana,en,active
https://www.military.com/rss-feeds/content?keyword=dod&type=news,global,en,active
https://www.news5cleveland.com/news.rss,"Cleveland, US",en,active
https://www.dewsburyreporter.co.uk/rss,UK,en,active
https://japantoday.com/category/world/feed,"Japan, world",en,active
https://www.ksby.com/news/california-news.rss,California,en,active
https://www.katc.com/news/st-mary-parish.rss,Louisiana,en,active
https://alerts.weather.gov/cap/ia.php?x=0,Iowa,en,active
https://www.manchestereveningnews.co.uk/news/rss.xml,"Manchester, UK",en,active
https://www.kpax.com/news/western-montana-news.rss,Montana,en,active
http://feeds.feedburner.com/IntelligenceOnline,global,en,active
https://www.arlingtoncardinal.com/feed,local,en,active
https://www.lincolnshirelive.co.uk/news/local-news/rss.xml,"Lincolnshire, UK",en,active
https://arizonadailyindependent.com/feed/,Arizona,en,active
https://www.wtvq.com/category/featured/feed/,"Lexington, KY",en,active
https://www.katc.com/news/acadia-parish.rss,"Acadia Parish, LA",en,active
https://intelligencebriefs.com/feed/,global,en,active
https://newsafricanow.com/category/ghana/feed/,Ghana,en,active
http://feeds.sierraleonetimes.com/rss/8fcd2bb0346b8627,Sierra Leone,en,active
https://www.koaa.com/sitemap.rss,Colorado Springs,en,active
https://www.gazettelive.co.uk/news/rss.xml,"Teesside, UK",en,active
https://breakingthenews.net/news-feed.xml,global,en,active
https://www.dailysignal.com/feed/,US,en,active
http://www.edinburghlive.co.uk/rss.xml,"Edinburgh, UK",en,active
https://newtown.dailyvoice.com/rss/,"Newtown, CT",en,active
https://www.wtvr.com/news/local-news.rss,"Richmond, VA",en,active
https://www.fox28spokane.com/category/news/national-news/feed/,Spokane,en,active
https://news.pngfacts.com/feeds/posts/default,Papua New Guinea,en,active
https://fox28spokane.com/feed/,Spokane,en,active
https://feeds.feedburner.com/ummid,India,en,active
https://whdh.com/news/us-world/feed/,"Boston, world",en,active
https://portchester.dailyvoice.com/rss/,"Port Chester, NY",en,active
https://www.ktvh.com/index.rss,"Helena, MT",en,active
https://www.fox28spokane.com/category/news/top-stories/feed/,Spokane,en,active
https://www.dailydispatchnewspaper.com/feed/,"Walterboro, SC",en,active
http://www.progressive-charlestown.com/feeds/posts/default?alt=rss,"Charlestown, IN",en,active
https://insiderpaper.com/topic/news/feed/,global,en,active
http://timesofindia.indiatimes.com/rssfeeds/-2128830821.cms,India,en,active
https://www.wwno.org/npr-news.rss,New Orleans,en,active
https://goanewshub.com/category/news/feed/,"Goa, India",en,active
http://calgarysun.com/rss,Calgary,en,active
https://fox4kc.com/feed/,Kansas City,en,active
https://www.stvincenttimes.com/feed/,Saint Vincent and Grenadines,en,active
https://en.mercopress.com/rss/,"",en,active
https://www.thestar.co.uk/news/rss,"Sheffield, UK",en,active
https://www.staradvertiser.com/tag/america-in-turmoil/feed/,US,en,active
https://www.katc.com/news/vermilion-parish.rss,"Vermilion Parish, LA",en,active
http://www.theadvocate.com/search/?f=rss&t=article&c=baton_rouge/news&l=50&s=start_time&sd=desc,"Baton Rouge, LA",en,active
https://stafford.dailyvoice.com/rss/,"Stafford, VA",en,active
https://northorange.dailyvoice.com/rss/,"North Orange County, CA, USA",en,active
https://southorange.dailyvoice.com/rss/,"South Orange County, CA",en,active
https://feeds.a.dj.com/rss/RSSWorldNews.xml,global,en,active
https://alerts.weather.gov/cap/mzus.php?x=0,global,en,active
https://www.wakefieldexpress.co.uk/news/rss,Wakefield (UK),en,active
http://www.theadvocate.com.au/rss.xml,"Burnie, Tasmania, Australia",en,active
https://www.wfae.org/united-states-world.rss,"US, Charlotte",en,active
https://www.africa-press.net/malawi/feed,Malawi,en,active
http://feeds.foxnews.com/foxnews/latest,global,en,active
https://www.spectator.com.au/feed/,Australian,en,active
https://lite987.com/feed/,"Evansville, IN",en,active
http://newsregister.com/index.php?rss=article,US,en,active
http://feeds.taiwansun.com/rss/0dd057261bcc461b,Taiwan,en,active
https://www.fingerlakes1.com/feed/,Finger Lakes,en,active
https://www.wptv.com/news/protecting-paradise.rss,"West Palm Beach, FL",en,active
https://akelicious.net/feed/,Nigerian,en,active
https://www.dailystar.co.uk/news/latest-news/rss.xml,global,en,active
http://www.benningtonbanner.com/search/?f=rss&t=article&c=&l=50&s=start_time&sd=desc,global,en,active
http://www.firemapchicago.net/feeds/posts/default,Chicago,en,active
https://orangetown.dailyvoice.com/rss/,local,en,active
https://www.suffolkfreepress.co.uk/_api/rss/suffolk_news_feed.xml,UK,en,active
https://nation.cymru/category/news/feed/,Wales,en,active
https://en.baaghitv.com/category/international/feed/,global,en,active
https://www.ktvh.com/news/montana-news.rss,US,en,active
https://www.wctrib.com/latest.rss,US,en,active
https://www.arlingtoncardinal.com/category/news-flash/feed/,US,en,active
https://news.google.com/rss/search?q=%22explosive%22+OR+%22detonated+in%22+OR+%22explosion%22+OR+%22explosives%22&hl=en-US&gl=US&ceid=US:en,"",en,active
https://www.tori.ng/feed/metro/rss.xml,Niger,en,active
